AGE,SEX,SCHOLARSHIP TYPE,STUDY HOURS,READING REQUENCY (NON SCI),READING FREQUENCY (SCI),ATTENDANCE TO CLASS,PREPARATION TYPE EXAMS,PREPARATION TIME EXAMS,TAKING NOTES IN CLASS,LISTENING IN CLASS,DISCUSSION IMPROVES MY INTEREST AND SUCCESS TO THIS COURSE,CUMULATIVE GPA LAST SEMESTER,GRADE,,"1- Student Age (1: 18-21, 2: 22-25, 3: above 26)",1,Age,0: 18 - 20,0.5: 22 - 25,1: above 26,,
0.5,1,0.5,0.25,0.5,0.5,2,1,1,2,2,2,3,1,,,,,,,,,
0.5,0,0.5,0,0.5,0.5,2,1,1,2,3,3,3,4,,,,,,,,,
0.5,0,0.5,0.5,0,0,1,1,2,2,2,2,4,1,,,,,,,,,
0.5,0,0.5,0,0.5,0.5,2,1,1,2,2,2,3,5,,,,,,,,,
0.5,1,0.5,0.25,0,0,1,1,2,3,1,3,5,3,,,,,,,,,
1,1,0.5,0,0.5,0.5,1,3,3,1,3,3,5,3,,,,,,,,,
0.5,1,0.5,0.75,0.5,1,1,1,2,3,2,3,5,5,,,,,,,,,
0.5,1,0.5,0.25,1,0.5,1,1,1,3,2,3,5,4,,,,,,,,,
1,1,0.5,0.5,0.5,0.5,1,1,1,3,2,2,5,3,,,,,,,,,
0.5,1,0.5,0.5,0.5,0.5,1,1,1,3,3,2,4,5,,,,,,,,,
0.5,0,0.5,0,0.5,0.5,1,1,1,1,3,3,2,2,,,,,,,,,
0,1,0.5,0.5,0,0.5,2,1,1,3,2,2,4,5,,,,,,,,,
0.5,1,0.5,0.5,0.5,0.5,1,1,1,2,3,3,5,3,,,,,,,,,
0.5,1,0.75,0,0,0.5,1,3,1,2,2,2,3,5,,,,,,,,,
0.5,1,1,0,0.5,0.5,1,2,1,3,2,3,4,3,,,,,,,,,
0,1,0.5,0,0,0.5,2,2,1,2,1,2,2,2,,,,,,,,,
0.5,1,0.5,0.25,0.5,0.5,1,1,1,3,2,2,5,5,,,,,,,,,
0.5,1,0.5,0.25,0.5,0.5,2,1,1,2,2,1,2,1,,,,,,,,,
0.5,0,0.75,0,0.5,0.5,2,1,1,2,2,3,4,5,,,,,,,,,
0.5,0,0.75,0,0,0.5,1,2,1,3,2,3,3,5,,,,,,,,,
0,1,0.75,0.25,0.5,0.5,1,1,1,2,2,3,5,7,,,,,,,,,
0,0,0.75,0.25,0.5,0,1,1,1,2,3,3,2,6,,,,,,,,,
0,1,0.5,0.25,1,1,1,1,1,2,2,3,3,6,,,,,,,,,
0.5,1,0.75,0.5,0,0,1,1,2,3,2,3,5,6,,,,,,,,,
0,1,0.75,0.25,0.5,0.5,1,2,1,3,2,3,3,7,,,,,,,,,
0,1,0.75,0.5,1,0,1,1,1,2,2,2,4,7,,,,,,,,,
0.5,1,0.25,0.25,1,0.5,1,3,2,2,1,2,2,4,,,,,,,,,
0,1,0.25,0.25,0.5,0.5,2,3,1,2,2,2,1,7,,,,,,,,,
0.5,0,0.75,0.25,1,1,2,1,1,3,3,2,2,4,,,,,,,,,
0.5,1,0.75,0,0.5,0.5,1,1,1,3,3,3,4,3,,,,,,,,,
0.5,0,0.5,0,0,0,1,1,1,2,3,1,4,4,,,,,,,,,
1,1,0.5,0.25,0.5,0.5,1,1,1,3,3,2,5,3,,,,,,,,,
0.5,1,0.75,0.25,0.5,1,1,1,1,3,3,2,4,7,,,,,,,,,
0.5,1,0.5,0,0.5,0.5,1,3,1,3,2,3,1,7,,,,,,,,,
1,1,0.5,0,0.5,0.5,1,3,3,3,3,3,5,7,,,,,,,,,
0,1,1,0,0,0,1,1,1,3,2,3,4,4,,,,,,,,,
0.5,1,0.75,0.25,0.5,0.5,1,1,1,3,2,3,5,5,,,,,,,,,
0.5,1,0.5,0.25,0.5,0.5,1,2,1,2,2,2,1,6,,,,,,,,,
0,1,0.75,0.25,0.5,0.5,1,1,2,3,1,2,5,6,,,,,,,,,
0.5,1,0.5,0.25,0.5,0.5,2,1,1,3,1,3,3,6,,,,,,,,,
0.5,0,0.5,0.25,0.5,0.5,1,1,1,2,3,2,4,6,,,,,,,,,
0.5,1,1,0.25,0.5,0.5,1,1,1,2,3,3,5,6,,,,,,,,,
0,1,0.5,0.5,0.5,0.5,1,1,1,3,2,3,2,7,,,,,,,,,
0,1,0,1,0.5,0,1,1,1,3,3,3,2,4,,,,,,,,,
0.5,1,0.5,0.25,0.5,1,1,1,1,3,2,2,5,6,,,,,,,,,
0,1,1,0.25,0.5,1,1,1,1,3,2,2,4,5,,,,,,,,,
0,1,0.75,0.25,1,0.5,1,1,1,3,2,3,2,7,,,,,,,,,
0,1,0.75,0.25,0.5,0.5,1,1,1,3,2,2,3,6,,,,,,,,,
0,1,0.75,0.25,1,0.5,1,1,1,3,1,2,4,7,,,,,,,,,
0.5,1,0.5,0.5,0.5,0.5,1,1,1,3,2,3,2,7,,,,,,,,,
0,1,0.75,0.25,0.5,0.5,1,1,1,2,2,2,3,6,,,,,,,,,
0,1,0.75,0.25,0.5,0.5,1,1,1,3,3,2,2,7,,,,,,,,,
0,1,0.5,0.25,0.5,0.5,1,1,1,3,1,2,3,7,,,,,,,,,
0,1,0.75,0.25,1,0.5,1,1,1,2,2,3,4,7,,,,,,,,,
0,0,0.5,0.25,0.5,0.5,1,1,1,2,3,2,1,3,,,,,,,,,
0,1,0.75,0.25,1,0.5,2,1,2,2,1,3,3,7,,,,,,,,,
0,1,0.75,0.5,0.5,0.5,1,3,2,2,2,2,4,7,,,,,,,,,
0,0,0.75,0.25,0.5,0.5,1,2,1,2,3,2,4,6,,,,,,,,,
0.5,0,1,0.5,1,0.5,2,1,1,2,3,1,3,6,,,,,,,,,
0,1,0.5,0.5,0.5,0.5,1,2,2,3,2,3,4,7,,,,,,,,,
0.5,1,0.5,0.25,0.5,0.5,2,1,1,2,2,2,2,2,,,,,,,,,
0,0,1,0,0.5,0.5,1,1,1,3,1,3,4,2,,,,,,,,,
0.5,0,0.5,0,0,0,1,2,1,3,3,3,4,2,,,,,,,,,
0.5,0,0.5,0.25,0.5,1,2,2,1,2,2,1,1,1,,,,,,,,,
0.5,0,1,0.25,0.5,0.5,1,1,1,2,2,1,1,2,,,,,,,,,
0.5,0,1,0.5,1,0.5,1,2,2,3,2,3,2,1,,,,,,,,,
0.5,0,1,0.5,1,1,1,1,1,3,3,3,2,1,,,,,,,,,
1,0,0.5,0.25,0.5,1,2,1,1,2,3,2,2,1,,,,,,,,,
0,1,1,0,0.5,0.5,1,3,1,3,3,2,3,1,,,,,,,,,
0.5,0,0.75,1,0.5,0.5,1,1,2,2,2,3,3,2,,,,,,,,,
0.5,0,0.5,0,0,0,2,2,1,3,3,3,2,1,,,,,,,,,
0.5,0,0.5,1,1,1,1,2,1,1,1,1,1,0,,,,,,,,,
0,1,1,0.25,0,0.5,1,2,1,3,2,2,4,2,,,,,,,,,
0.5,0,0.5,0.25,0.5,1,1,1,1,3,3,2,1,1,,,,,,,,,
0,0,0.75,0.75,0.5,0.5,1,2,2,3,3,2,3,3,,,,,,,,,
0,0,1,0.5,0.5,1,1,1,2,3,2,3,1,2,,,,,,,,,
0,0,0.75,0.75,0.5,1,1,2,1,3,3,3,2,3,,,,,,,,,
0,0,0.75,0.25,0,0,1,1,1,3,2,2,2,1,,,,,,,,,
0,0,0.75,0.25,0,0,1,1,1,3,2,2,2,0,,,,,,,,,
0,0,0.5,0.75,0.5,1,1,2,2,3,2,3,2,3,,,,,,,,,
0,0,0.5,0.75,0.5,0.5,1,1,2,3,1,3,2,1,,,,,,,,,
0,0,1,0.75,0,1,1,1,2,3,2,3,5,4,,,,,,,,,
0,0,1,0.25,0.5,1,1,2,1,3,2,3,5,3,,,,,,,,,
0,0,1,0.5,0,0.5,1,1,1,3,3,3,5,3,,,,,,,,,
0,0,0.75,0.25,0.5,0.5,1,1,1,2,1,2,2,1,,,,,,,,,
0.5,0,0.5,0.25,1,0.5,1,1,1,3,3,2,3,2,,,,,,,,,
0,0,0.5,0.25,0.5,0.5,1,3,1,3,2,2,2,0,,,,,,,,,
0,0,1,0.25,0.5,0.5,1,1,1,3,1,3,2,2,,,,,,,,,
0,0,0.75,0.25,0.5,1,1,2,1,3,2,3,1,0,,,,,,,,,
0,0,0.75,0,0,0.5,2,2,1,2,3,2,1,0,,,,,,,,,
0.5,0,0.5,0.5,1,0.5,1,1,1,2,1,2,3,5,,,,,,,,,
0,0,0.75,0.5,0.5,0.5,2,1,1,3,2,2,5,5,,,,,,,,,
0,0,0.75,0.25,0.5,0.5,1,1,1,3,3,2,4,1,,,,,,,,,
0.5,0,0.75,0.25,0.5,0,1,2,1,2,1,2,5,4,,,,,,,,,
0,0,1,0.5,0,0,1,2,1,3,2,3,5,3,,,,,,,,,
