AGE,SEX,SCHOLARSHIP TYPE,STUDY HOURS,READING REQUENCY (NON SCI),READING FREQUENCY (SCI),ATTENDANCE TO CLASS,PREPARATION TYPE EXAMS,PREPARATION TIME EXAMS,TAKING NOTES IN CLASS,LISTENING IN CLASS,DISCUSSION IMPROVES MY INTEREST AND SUCCESS TO THIS COURSE,CUMULATIVE GPA LAST SEMESTER,GRADE,,
2,2,3,2,2,2,1,2,1,3,2,2,4,1,,
1,2,3,3,2,2,1,1,1,2,2,2,4,3,,
2,2,3,2,2,2,1,1,1,2,2,3,4,5,,
2,2,3,2,2,2,2,1,1,2,1,3,5,3,,
1,2,3,1,1,2,1,1,1,3,2,3,2,1,,
1,2,4,2,2,2,1,2,1,2,2,2,3,2,,
2,2,3,2,2,2,2,1,1,2,2,2,3,1,,
2,1,3,1,2,2,2,1,1,2,3,3,3,4,,
2,1,3,3,1,1,1,1,2,2,2,2,4,1,,
2,1,3,1,2,2,2,1,1,2,2,2,3,5,,
2,2,3,2,1,1,1,1,2,3,1,3,5,3,,
3,2,3,1,2,2,1,3,3,1,3,3,5,3,,
2,2,3,4,2,3,1,1,2,3,2,3,5,5,,
2,2,3,2,3,2,1,1,1,3,2,3,5,4,,
3,2,3,3,2,2,1,1,1,3,2,2,5,3,,
2,2,3,3,2,2,1,1,1,3,3,2,4,5,,
2,1,3,1,2,2,1,1,1,1,3,3,2,2,,
1,2,3,3,1,2,2,1,1,3,2,2,4,5,,
2,2,3,3,2,2,1,1,1,2,3,3,5,3,,
2,2,4,1,1,2,1,3,1,2,2,2,3,5,,
2,2,5,1,2,2,1,2,1,3,2,3,4,3,,
1,2,3,1,1,2,2,2,1,2,1,2,2,2,,
2,2,3,2,2,2,1,1,1,3,2,2,5,5,,
2,2,3,2,2,2,2,1,1,2,2,1,2,1,,
2,1,4,1,2,2,2,1,1,2,2,3,4,5,,
2,1,4,1,1,2,1,2,1,3,2,3,3,5,,
1,2,4,2,2,2,1,1,1,2,2,3,5,7,,
1,1,4,2,2,1,1,1,1,2,3,3,2,6,,
1,2,3,2,3,3,1,1,1,2,2,3,3,6,,
2,2,4,3,1,1,1,1,2,3,2,3,5,6,,
1,2,4,2,2,2,1,2,1,3,2,3,3,7,,
1,2,4,3,3,1,1,1,1,2,2,2,4,7,,
2,2,2,2,3,2,1,3,2,2,1,2,2,4,,
1,2,2,2,2,2,2,3,1,2,2,2,1,7,,
2,1,4,2,3,3,2,1,1,3,3,2,2,4,,
2,2,4,1,2,2,1,1,1,3,3,3,4,3,,
2,1,3,1,1,1,1,1,1,2,3,1,4,4,,
3,2,3,2,2,2,1,1,1,3,3,2,5,3,,
2,2,4,2,2,3,1,1,1,3,3,2,4,7,,
2,2,3,1,2,2,1,3,1,3,2,3,1,7,,
3,2,3,1,2,2,1,3,3,3,3,3,5,7,,
1,2,5,1,1,1,1,1,1,3,2,3,4,4,,
2,2,4,2,2,2,1,1,1,3,2,3,5,5,,
2,2,3,2,2,2,1,2,1,2,2,2,1,6,,
1,2,4,2,2,2,1,1,2,3,1,2,5,6,,
2,2,3,2,2,2,2,1,1,3,1,3,3,6,,
2,1,3,2,2,2,1,1,1,2,3,2,4,6,,
2,2,5,2,2,2,1,1,1,2,3,3,5,6,,
1,2,3,3,2,2,1,1,1,3,2,3,2,7,,
1,2,1,5,2,1,1,1,1,3,3,3,2,4,,
2,2,3,2,2,3,1,1,1,3,2,2,5,6,,
1,2,5,2,2,3,1,1,1,3,2,2,4,5,,
1,2,4,2,3,2,1,1,1,3,2,3,2,7,,
1,2,4,2,2,2,1,1,1,3,2,2,3,6,,
1,2,4,2,3,2,1,1,1,3,1,2,4,7,,
2,2,3,3,2,2,1,1,1,3,2,3,2,7,,
1,2,4,2,2,2,1,1,1,2,2,2,3,6,,
1,2,4,2,2,2,1,1,1,3,3,2,2,7,,
1,2,3,2,2,2,1,1,1,3,1,2,3,7,,
1,2,4,2,3,2,1,1,1,2,2,3,4,7,,
1,1,3,2,2,2,1,1,1,2,3,2,1,3,,
1,2,4,2,3,2,2,1,2,2,1,3,3,7,,
1,2,4,3,2,2,1,3,2,2,2,2,4,7,,
1,1,4,2,2,2,1,2,1,2,3,2,4,6,,
2,1,5,3,3,2,2,1,1,2,3,1,3,6,,
1,2,3,3,2,2,1,2,2,3,2,3,4,7,,
2,2,3,2,2,2,2,1,1,2,2,2,2,2,,
1,1,5,1,2,2,1,1,1,3,1,3,4,2,,
2,1,3,1,1,1,1,2,1,3,3,3,4,2,,
2,1,3,2,2,3,2,2,1,2,2,1,1,1,,
2,1,5,2,2,2,1,1,1,2,2,1,1,2,,
2,1,5,3,3,2,1,2,2,3,2,3,2,1,,
2,1,5,3,3,3,1,1,1,3,3,3,2,1,,
3,1,3,2,2,3,2,1,1,2,3,2,2,1,,
1,2,5,1,2,2,1,3,1,3,3,2,3,1,,
2,1,4,5,2,2,1,1,2,2,2,3,3,2,,
2,1,3,1,1,1,2,2,1,3,3,3,2,1,,
2,1,3,5,3,3,1,2,1,1,1,1,1,0,,
1,2,5,2,1,2,1,2,1,3,2,2,4,2,,
2,1,3,2,2,3,1,1,1,3,3,2,1,1,,
1,1,4,4,2,2,1,2,2,3,3,2,3,3,,
1,1,5,3,2,3,1,1,2,3,2,3,1,2,,
1,1,4,4,2,3,1,2,1,3,3,3,2,3,,
1,1,4,2,1,1,1,1,1,3,2,2,2,1,,
1,1,4,2,1,1,1,1,1,3,2,2,2,0,,
1,1,3,4,2,3,1,2,2,3,2,3,2,3,,
1,1,3,4,2,2,1,1,2,3,1,3,2,1,,
1,1,5,4,1,3,1,1,2,3,2,3,5,4,,
1,1,5,2,2,3,1,2,1,3,2,3,5,3,,
1,1,5,3,1,2,1,1,1,3,3,3,5,3,,
1,1,4,2,2,2,1,1,1,2,1,2,2,1,,
2,1,3,2,3,2,1,1,1,3,3,2,3,2,,
1,1,3,2,2,2,1,3,1,3,2,2,2,0,,
1,1,5,2,2,2,1,1,1,3,1,3,2,2,,
1,1,4,2,2,3,1,2,1,3,2,3,1,0,,
1,1,4,1,1,2,2,2,1,2,3,2,1,0,,
2,1,3,3,3,2,1,1,1,2,1,2,3,5,,
1,1,4,3,2,2,2,1,1,3,2,2,5,5,,
1,1,4,2,2,2,1,1,1,3,3,2,4,1,,
2,1,4,2,2,1,1,2,1,2,1,2,5,4,,
1,1,5,3,1,1,1,2,1,3,2,3,5,3,,
